stasjonsnr,Stasjonsnavn,Måleparameter,Versjon,Målested,Stasjontype,Status (i drift/nedlagt),Målestart (dato),Data kontrollert fra (dato),Data kontrollert til (dato),Evt. nedlagt (dato),Normal årsavrenning (l/s km2),Totalt feltareal (km2),"Bratthet (1085-gradient, m/km)",Myrprosent,Effektiv sjøprosent,Jordbruksprosent,Skogprosent,Innsjøprosent,Snaufjellprosent,Urbantareal prosent,Breprosent,Elvegradient (m/km),Elvelengde (km),Elvenavnhierarki,Elvetetthet (m/km),Vassdragsomr. nr.,Vassdragsomr. navn,Reguleringsgrad areal,"Reguleringsgrad mag,",Måleparameter kode,Høyde 10 persentil (m),Høyde 90 persentil (m),Medianhøyde (m),Høyeste punkt (m),Laveste punkt (m),Høyde over havet (m),ObjektID
98.4.0,Øye ndf.,Vannføring,1,Ikke angitt,Forvaltningsstasjon,I drift,33149.583333333336,1990-10-03T14:00:00Z,2023-12-31T14:00:00Z,Ikke angitt,Ikke angitt,138.78,43.31,0.44,0.26,2.39,18.22,4.32,65.16,0,3.12,63.48,20.16,Bygdaelva,1270.98,098,"Storfjorden sør, Sunnylvsfjorden og Geirangerfjorden",0,0,1001,456,1510,1045,1852,146,150,12907
138.1.0,Øyungen,Vannføring,1,Innsjø,Forvaltningsstasjon,I drift,6114.583333333333,1916-09-26T14:00:00Z,2023-12-31T14:00:00Z,Ikke angitt,Ikke angitt,239.41,9.43,18.72,1.44,0.2,39.68,6.41,26.62,0,0,10.75,28.27,Årgårdsvassdraget,2194.64,138,Årgårdsvassdraget og Bogna/Namsfjorden sør,0,0,1001,198,526,338,681,101,105,14759
234.18.0,Polmak nye,Vannføring,1,Ikke angitt,Forvaltningsstasjon,I drift,33573.583333333336,1991-12-01T14:00:00Z,2023-12-31T14:00:00Z,Ikke angitt,Ikke angitt,14161.4,1,11.57,0.03,0.21,52.61,4.78,19.559999999999999,0.08,0,1.61,310.75,Tana,910.73,234,Tana/Tanafjorden sør,0,0,1001,285,481,385,1065,10,20,17784
36.34.0,Prestvika,Vannføring,1,Elv - kunstig profil,Konsesjonspålagt stasjon,I drift,32690.583333333332,1989-07-01T14:00:00Z,2023-12-31T14:00:00Z,Ikke angitt,Ikke angitt,2.67,151.38999999999999,0,0,10.039999999999999,56.51,0.09,25.24,1.1200000000000001,0,215.2,1.51,Suldalsvassdraget,966.72,036,Suldalsvassdraget/Sandsfjorden sør og Hylsfjorden,0,0,1001,89,976,395,1102,63,66,9173
123.20.0,Rate,Vannføring,1,Ikke angitt,Konsesjonspålagt stasjon,I drift,822.58333333333337,1902-04-01T14:00:00Z,2023-12-31T14:00:00Z,Ikke angitt,Ikke angitt,3057.88,5.9,12.61,2.39,2.0699999999999998,36.07,7.78,35.090000000000003,0.21,0,7.09,165.77,Nidelvvassdraget,2061.96,123,Nidelvvassdraget/Strindfjorden,1,0.48,1001,341,1049,713,1789,9,13,14045
19.82.0,Rauåna,Vannføring,1,Elv - kunstig profil,Forvaltningsstasjon,I drift,26619.583333333332,1972-11-16T14:00:00Z,2023-12-31T14:00:00Z,Ikke angitt,Ikke angitt,8.91,25.66,2.2999999999999998,0,0.37,90.59,0.08,1.1499999999999999,0,0,29.22,7.01,Arendalsvassdraget,1295.8699999999999,019,Arendalsvassdraget/kyst Moland-Homborsund,0,0,1001,308,598,459,755,220,220,7186
103.40.0,Rauma v/Horgheim,Vannføring,1,Ikke angitt,Forvaltningsstasjon,I drift,26059.583333333332,1971-05-06T14:00:00Z,2023-12-31T14:00:00Z,Ikke angitt,Ikke angitt,1099.42,12.32,0.93,0.06,1.05,17.62,4.25,72.81,0.01,1.86,9.57,57.78,Rauma,1107.8599999999999,103,Rauma/Romsdalsfjorden,0.12,0.03,1001,743,1639,1301,2012,57,60,13057
103.3.0,Rauma v/Stuguflåten,Vannføring,2,Elv - naturlig profil,Forvaltningsstasjon,I drift,4495.583333333333,1971-05-08T14:00:00Z,2023-12-31T14:00:00Z,Ikke angitt,Ikke angitt,377.02,2.63,0.62,0.21,1.83,19.32,3.54,70.87,0.02,2.2999999999999998,4.08,22.31,Rauma,1160.3900000000001,103,Rauma/Romsdalsfjorden,0.02,0,1001,670,1736,1347,2012,519,515,13004
103.19.0,Rauma v/Venge,Vannføring,1,Ikke angitt,Konsesjonspålagt stasjon,I drift,26410.583333333332,1972-04-21T14:00:00Z,2023-12-31T14:00:00Z,Ikke angitt,Ikke angitt,1114.6600000000001,11.07,0.92,0.06,1.08,17.809999999999999,4.2300000000000004,72.47,0.01,1.9,9.5500000000000007,63.24,Rauma,1107.1400000000001,103,Rauma/Romsdalsfjorden,0.12,0.03,1001,817,1725,1622,2012,7,9,13037
171.7.0,Ravggajokka,Vannføring,1,Elv - naturlig profil,Forvaltningsstasjon,I drift,27997.583333333332,1976-08-25T14:00:00Z,2023-12-31T14:00:00Z,Ikke angitt,Ikke angitt,74.959999999999994,9.18,0.52,1.01,0,0.33,5.23,93.81,0,0,12.29,22.38,Draugelva/Hellemovassdraget,2129.96,171,Hellemovassdraget/Tysfjord kommune,0,0,1001,601,1021,831,1264,457,456,16502
26.29.0,Refsvatn,Vannføring,1,Innsjø,Forvaltningsstasjon,I drift,28509.583333333332,1978-01-19T14:00:00Z,2023-12-31T14:00:00Z,Ikke angitt,Ikke angitt,52.95,18.41,1.08,1.74,1.72,22.78,9.32,59.21,0,0,19.82,16.95,Litla-mydlandsåna/Sokno,1717.79,026,Sira og Sokna/kyst Hidra-Sokndal,0,0,1001,230,487,442,552,33,50,8409
48.5.0,Reinsnosvatn,Vannføring,1,Innsjø,Forvaltningsstasjon,I drift,6376.583333333333,1917-06-15T14:00:00Z,2023-12-31T14:00:00Z,Ikke angitt,Ikke angitt,120.5,85.5,0.77,3.34,0.1,7.9,9.9499999999999993,76.72,0,0.73,81.64,10.79,Austdølo/Opo,2776.46,048,Opo/Sørfjorden vest,0,0,1001,814,1468,1271,1631,593,597,9695
26.64.0,Rekedalselv,Vannføring,1,Elv - kunstig profil,Konsesjonspålagt stasjon,I drift,35370.583333333336,1996-11-01T14:00:00Z,2023-12-31T14:00:00Z,Ikke angitt,Ikke angitt,10.11,6.83,2.25,1.41,1.0900000000000001,38.17,6.97,47.29,0,0,16.87,5.27,Sira og Sokna/kyst Hidra-Sokndal,1633.6,026,Sira og Sokna/kyst Hidra-Sokndal,0,0,1001,164,288,227,312,103,110,8486
112.8.0,Rinna,Vannføring,1,Elv - naturlig profil,Konsesjonspålagt stasjon,I drift,25437.583333333332,1969-08-22T14:00:00Z,2023-12-31T14:00:00Z,Ikke angitt,Ikke angitt,87.83,23.21,15.13,0.56999999999999995,0,16.079999999999998,3.28,58.28,0,0.04,23.25,17.98,Rinda/Surna,1444.15,112,Surna/Surnadalsfjorden og Halsafjorden øst,0,0,1001,608,1200,840,1594,452,460,13489
99.17.0,Rødøla,Vannføring,1,Elv - kunstig profil,"Privat, ikke pålagt",I drift,29707.583333333332,1981-05-01T14:00:00Z,2023-12-31T14:00:00Z,Ikke angitt,Ikke angitt,49.82,50.31,0.69,3.59,0,10.74,14.42,70.599999999999994,0,1.6,53.48,20.329999999999998,Rødøla/Rødalselva/Tafjordvassdraget,1125.8800000000001,099,Tafjordvassdraget/Tafjorden og Norddalsfjorden sør,0.54,0.86,1001,777,1642,1413,1849,464,462,12955
119.4.0,Rovatn,Vannføring,1,Ikke angitt,Konsesjonspålagt stasjon,I drift,8462.5833333333339,1923-03-02T14:00:00Z,2023-12-31T14:00:00Z,Ikke angitt,Ikke angitt,236.68,11.01,14.51,4.74,3.04,37.67,8.5500000000000007,26.69,0.01,0,18.3,43.49,Søa,1975.12,119,Trondheimsleia øst: Stamnes-Agdenes fyr,0.49,0.19,1001,141,662,412,1036,12,12,13616
12.143.0,Ruud,Vannføring,1,Elv - naturlig profil,Konsesjonspålagt stasjon,I drift,19513.583333333332,1953-01-19T14:00:00Z,2023-12-31T14:00:00Z,Ikke angitt,Ikke angitt,776.59,17.84,2.95,1.57,0.3,9.44,11.8,73.56,0.01,0.95,18.149999999999999,54.05,Åni/Hallingdalsvassdraget/Drammensvassdraget,1753.27,012,Drammensvassdraget/Drammensfjorden vest,0.79,0.96,1001,1026,1765,1401,1929,597,615,4253
2.284.0,Sælatunga,Vannføring,1,Elv - naturlig profil,Konsesjonspålagt stasjon,I drift,20369.583333333332,1966-08-01T14:00:00Z,2023-12-31T14:00:00Z,Ikke angitt,Ikke angitt,457.52,19.82,2.2599999999999998,0.09,1.1599999999999999,10.77,2.02,81.790000000000006,0,0.1,22.95,39.479999999999997,Finna/Otta/Vorma-Lågen/Glommavassdraget,1166.6600000000001,002,Glommavassdraget/Hvaler og Singlefjorden,0,0,1001,930,1720,1397,1882,409,408,902
73.4.0,Sælthun,Vannføring,1,Elv - naturlig profil,Konsesjonspålagt stasjon,I drift,22389.583333333332,1961-04-18T14:00:00Z,2023-12-31T14:00:00Z,Ikke angitt,Ikke angitt,789.96,21.62,1.02,0.14000000000000001,0.35,11.21,7.01,77.91,0,0.05,21.69,60.12,Lærdalsvassdraget,1682.02,073,Lærdalsvassdraget/Lærdalsfjorden,0.39,0.31,1001,1002,1623,1380,1918,181,183,10809
8.6.0,Sæternbekken,Vannføring,1,Elv - kunstig profil,Forvaltningsstasjon,I drift,26238.583333333332,1971-11-01T14:00:00Z,2023-12-31T14:00:00Z,Ikke angitt,Ikke angitt,6.28,65.459999999999994,3.27,0,2.3199999999999998,93.17,0.16,0,0,0,60.54,4.8099999999999996,Øverlandselva/Sandvikselva,2495.0500000000002,008,Sandvikselva,0,0,1001,180,396,257,422,99,102,3746
212.48.0,Sagafoss,Vannføring,1,Ikke angitt,Konsesjonspålagt stasjon,I drift,32874.583333333336,1990-01-01T14:00:00Z,2023-12-31T14:00:00Z,Ikke angitt,Ikke angitt,234.24,12.76,5.69,0.16,1.49,26.84,5.44,50.46,0.14000000000000001,0,12.06,42.95,Tverrelva,1536.22,212,Altavassdraget/Altafjorden,0,0,1001,188,535,430,636,19,22,17433
307.14.0,Saksvatn,Vannføring,1,Innsjø,Konsesjonspålagt stasjon,I drift,21916.583333333332,1960-01-01T14:00:00Z,2023-12-31T14:00:00Z,Ikke angitt,Ikke angitt,64.03,17.23,17.649999999999999,2.7,0,18.07,5.35,38.64,0,0,23.82,15.79,Saksvasselva/Linvasselva/Faxälven,3754.06,307,Ångermanelven,0,0,1001,512,834,628,1007,464,465,17970
140.2.0,Salsvatn,Vannføring,1,Ikke angitt,Forvaltningsstasjon,I drift,31048.583333333332,1985-01-01T14:00:00Z,2023-12-31T14:00:00Z,Ikke angitt,Ikke angitt,431.9,4.49,3.44,10.63,0.1,29.16,14.15,42.47,0,0,6.26,48.73,Salsvatnvassdraget,3069.23,140,Salsvatnvassdraget/kyst Namsos-Foldfjorden,0,0,1001,7,580,306,763,-8,9,14955
246.9.0,Sametielv,Vannføring,1,Ikke angitt,Konsesjonspålagt stasjon,I drift,28734.583333333332,1978-09-01T14:00:00Z,2023-12-31T14:00:00Z,Ikke angitt,Ikke angitt,255.69,3.53,15.76,1.97,0,63.73,14.48,5.39,0,0,3.72,40.369999999999997,Sametielva/Pasvikelva,1785.83,246,Pasvikelva/Bøkfjorden,0,0,1001,82,207,147,294,42,40,17909
33.10.0,Sandvatn,Vannføring,1,Innsjø,Konsesjonspålagt stasjon,I drift,32106.583333333332,1987-11-25T14:00:00Z,2023-12-31T14:00:00Z,Ikke angitt,Ikke angitt,70.400000000000006,30.3,0.26,1.93,0,0,13.39,86.37,0,0,33.46,9.59,Gråfolåna/Årdalselva,3057.25,033,Årdalselva/Årdalsfjorden,0,0,1001,985,1209,1109,1262,852,852,8926
29.11.0,Sandvedparken,Vannføring,1,Elv - naturlig profil,"Privat, ikke pålagt",I drift,34762.583333333336,1995-03-04T14:00:00Z,2023-12-31T14:00:00Z,Ikke angitt,Ikke angitt,24.5,3.24,0.74,1.81,15.82,27.09,3.69,10.1,21.17,0,11.36,14,Storåna,654.72,029,Stavanger og Sandnes kommuner,0,0,1001,31,183,81,286,1,3,8739
48.1.0,Sandvenvatn,Vannføring,1,Innsjø,Forvaltningsstasjon,I drift,3232.5833333333335,1908-11-05T14:00:00Z,2023-12-31T14:00:00Z,Ikke angitt,Ikke angitt,470.22,40.24,1.1299999999999999,1.22,0.42,21.24,7.13,59.49,7.0000000000000007E-2,7.22,34.25,31.18,Opo,2407.42,048,Opo/Sørfjorden vest,0.3,0.01,1001,669,1470,1185,1645,84,88,9682
161.18.0,Selfors bru,Vannføring,1,Ikke angitt,Konsesjonspålagt stasjon,I drift,35947.583333333336,1998-06-01T14:00:00Z,2023-12-31T14:00:00Z,Ikke angitt,Ikke angitt,789.22,7.77,2.79,0.02,0.83,26.69,2.83,58.07,0.01,4.42,16.940000000000001,52.37,Beiarelva,1929.93,161,"Beiarelva, Morsdalsfjorden og Nordfjorden",0.13,0,1001,358,1130,748,1626,8,40,15958
6.71.0,Sinnerdammen,Vannføring,1,Elv - naturlig profil,Forvaltningsstasjon,I drift,37890.583333333336,2003-09-26T14:00:00Z,2023-12-31T14:00:00Z,Ikke angitt,Ikke angitt,7.63,25.46,2.76,2,0,92.89,4.3,0,0,0,17.95,5.24,Spålselva/Nordmarkvassdraget,1545.15,006,Nordmarkvassdraget/kyst Gjersjøelva-Bygdøy,0,0,1001,519,628,574,662,483,482,3560
12.99.0,Skålfoss,Vannføring,2,Ikke angitt,Konsesjonspålagt stasjon,I drift,7436.583333333333,1965-01-01T14:00:00Z,2023-12-31T14:00:00Z,Ikke angitt,Ikke angitt,5107.3999999999996,4.26,7.01,0.03,1.79,41.09,6.89,39.020000000000003,0.17,0.49,6.07,191.84,Hallingdalsvassdraget/Drammensvassdraget,1618.2,012,Drammensvassdraget/Drammensfjorden vest,1,0.41,1001,576,1575,1147,1933,106,118,4122
2.122.0,Skarnes,Vannføring,1,Ikke angitt,Konsesjonspålagt stasjon,I drift,Ikke angitt,NA,2023-12-31T14:00:00Z,Ikke angitt,Ikke angitt,20300.55,1.4,9.84,7.0000000000000007E-2,3.31,57.45,3.53,20.309999999999999,0.15,0,1.6,459.98,Glommavassdraget,1285.23,002,Glommavassdraget/Hvaler og Singlefjorden,0.95,0.09,1001,312,1177,784,2173,130,129,458
162.3.0,Skarsvatn,Vannføring,1,Ikke angitt,Forvaltningsstasjon,I drift,30960.583333333332,1984-10-05T14:00:00Z,2023-12-31T14:00:00Z,Ikke angitt,Ikke angitt,145.38999999999999,17.66,6.92,0.76,1.04,44.11,6.76,34.130000000000003,0,0,16.91,29.75,Lakselva,2649.94,162,Saltfjorden: Nordfjorden-Skjerstad,0,0,1001,298,649,539,831,159,162,16077
160.7.0,Skauvoll,Vannføring,1,Elv - naturlig profil,Forvaltningsstasjon,I drift,31724.583333333332,1986-11-09T14:00:00Z,2023-12-31T14:00:00Z,Ikke angitt,Ikke angitt,19.66,22.61,0.06,1.49,0,27.1,7.74,54.19,0,0,47.42,11.32,Skauvollelva,1773.78,160,"Fykanåga/Glomfjorden, Gåsværfjorden og Sørfjorden",0,0,1001,397,767,483,1063,229,232,15863
83.9.0,Skilbreivatn,Vannføring,1,Innsjø,"Privat, ikke pålagt",I drift,34199.583333333336,1993-08-18T14:00:00Z,2023-12-31T14:00:00Z,Ikke angitt,Ikke angitt,17.809999999999999,14.34,7.34,5.13,3.88,44.25,9.99,24.44,0,0,21.38,7.53,Åmotselva/Gaularvassdraget,1717.27,083,Gaularvassdraget/Dalsfjorden,0,0,1001,288,625,457,811,251,253,12166
165.11.0,Skivika,Vannføring,1,Elv - kunstig profil,Forvaltningsstasjon,I drift,35312.583333333336,1996-09-04T14:00:00Z,2023-12-31T14:00:00Z,Ikke angitt,Ikke angitt,1,0,2,0,0,55.36,0,0,26.12,0,0,0,Kyst Saltstraumen-Bodø-Tårnvikfjellet,-999,165,Kyst Saltstraumen-Bodø-Tårnvikfjellet,0,0,1001,27,154,95,205,0,5,16282
86.12.0,Skjerdalselv,Vannføring,1,Elv - naturlig profil,Forvaltningsstasjon,I drift,30234.583333333332,1982-10-10T14:00:00Z,2023-12-31T14:00:00Z,Ikke angitt,Ikke angitt,23.66,88.67,0.28999999999999998,1.1000000000000001,0,14.63,3.87,59.31,0,16.78,96.15,5.83,Storelva,1099.08,086,Gjengedalsvassdraget/Frøysjøen og ytre Nordfjord sør,0,0,1001,473,1335,1091,1466,294,293,12399
71.1.0,Skjerping,Vannføring,2,Ikke angitt,Konsesjonspålagt stasjon,I drift,3089.5833333333335,1968-06-10T14:00:00Z,2023-12-31T14:00:00Z,Ikke angitt,Ikke angitt,268.36,39.64,6,0.01,1.2,22.27,1.17,67.22,0,0.18,47.16,24.15,Nærøydalselvi,2266.8000000000002,071,Nærøyelvi/Fresvikbreen,0.4,0.01,1001,731,1345,1015,1604,52,60,10570
189.4.0,Skoddebergvatnet ndf.,Vannføring,1,Ikke angitt,Konsesjonspålagt stasjon,I drift,19035.583333333332,1952-02-11T14:00:00Z,2023-12-31T14:00:00Z,Ikke angitt,Ikke angitt,107.73,25.02,8.06,8.52,0.1,42.15,10.72,36.799999999999997,0,0.89,34.270000000000003,18.059999999999999,Skoddebergvassdraget,2121,189,Skoddebergvassdraget/Skånland kommune,1,0.43,1001,128,904,400,1283,26,27,16840
224.1.0,Skoganvarre,Vannføring,1,Innsjø,Konsesjonspålagt stasjon,I drift,7885.583333333333,1921-08-02T14:00:00Z,2023-12-31T14:00:00Z,Ikke angitt,Ikke angitt,940.73,6.04,6.59,0.98,0,41.94,6.53,40.47,0,0,9.2100000000000009,62.65,Lakselvvassdraget,1412.29,224,Lakselvvassdraget/indre Porsangen sør,0.55000000000000004,0.06,1001,263,601,367,1043,69,69,17658
196.21.0,Skogly,Vannføring,1,Elv - naturlig profil,Konsesjonspålagt stasjon,I drift,27273.583333333332,1974-09-01T14:00:00Z,2023-12-31T14:00:00Z,Ikke angitt,Ikke angitt,1186.58,11.11,5.54,0.15,0.04,16.579999999999998,3.49,71.17,0,0.3,15.91,50.53,Divielva/Målselvvassdraget,1464.83,196,Målselvvassdraget/Malangen,0.25,0.16,1001,513,1157,855,1710,119,120,16955
200.4.0,Skogsfjordvatn,Vannføring,1,Ikke angitt,Forvaltningsstasjon,I drift,32404.583333333332,1988-09-18T14:00:00Z,2023-12-31T14:00:00Z,Ikke angitt,Ikke angitt,136.01,28.11,1.63,10.09,0.46,22.37,15.02,48.76,0,0.08,21.53,20.02,Skogsfjordelva,1461.82,200,Ringvassøya,0,0,1001,18,616,286,1045,18,17,17091
97.5.0,Sleddalen,Vannføring,1,Elv - naturlig profil,Konsesjonspålagt stasjon,I drift,35781.583333333336,1997-12-17T14:00:00Z,2023-12-31T14:00:00Z,Ikke angitt,Ikke angitt,9.26,67.959999999999994,3.49,0,2.58,28.16,0.04,63.77,0,0,118.23,3.87,Sleddalselva/Vikelva,1770.12,097,"Storfjorden sør, Hjørundfjorden og Sykkylvsfjorden",0,0,1001,370,1142,777,1383,319,300,12879
62.14.0,Slondalsvatn,Vannføring,1,Innsjø,"Privat, ikke pålagt",I drift,30412.583333333332,1983-04-06T14:00:00Z,2023-12-31T14:00:00Z,Ikke angitt,Ikke angitt,41.86,42.88,1.04,2.78,0.03,2.72,10.27,82.63,0,0.97,49.47,14.27,Kvannjolo/Raundalselvi/Vossovassdraget,2489.81,062,Vossovassdraget/Bolstadfjorden,0,0,1001,999,1457,1255,1602,752,751,10275
177.4.0,Sneisvatn,Vannføring,1,Innsjø,Forvaltningsstasjon,I drift,6108.583333333333,1916-09-20T14:00:00Z,2023-12-31T14:00:00Z,Ikke angitt,Ikke angitt,29.25,21.44,2.4900000000000002,2.25,0,25.33,10.17,52.6,0,0,17.21,10.57,Sneiselva,1327.42,177,Østre Hinnøya,0,0,1001,105,680,339,968,15,18,16772
12.114.0,Sogna v/Gardhammarfossen,Vannføring,1,Elv - naturlig profil,Forvaltningsstasjon,I drift,13431.583333333334,1936-10-08T14:00:00Z,2023-12-31T14:00:00Z,Ikke angitt,Ikke angitt,492.33,16.38,3.01,0.28000000000000003,2.29,83.12,3.74,6.36,0.17,0,21.03,50.79,Sogna/Drammensvassdraget,1860,012,Drammensvassdraget/Drammensfjorden vest,0,0,1001,224,846,499,1224,127,130,4167
77.3.0,Sogndalsvatn,Vannføring,1,Innsjø,Konsesjonspålagt stasjon,I drift,22847.583333333332,1962-07-20T14:00:00Z,2023-12-31T14:00:00Z,Ikke angitt,Ikke angitt,110.93,28.29,1.52,2.31,1.21,21.11,4.28,59.75,0,4.05,61.94,16.399999999999999,Sogndalselvi,1284.95,077,Årøyvassdraget/kyst Kaupanger-Hella,0,0,1001,517,1470,1129,1602,381,395,11906
22.22.0,Søgne,Vannføring,1,Elv - naturlig profil,Forvaltningsstasjon,I drift,27012.583333333332,1973-12-14T14:00:00Z,2023-12-31T14:00:00Z,Ikke angitt,Ikke angitt,203.58,6.45,5.95,0.09,4.8099999999999996,80.86,4.1900000000000004,0.13,1.37,0,7.06,50.45,Søgneelva,1918.51,022,Mandalselva/kyst Flekkerøy-Mandal by,0,0,1001,118,340,239,485,0,10,8064
19.104.0,Songedalsåi,Vannføring,1,Elv - naturlig profil,Konsesjonspålagt stasjon,I drift,29587.583333333332,1981-01-01T14:00:00Z,2023-12-31T14:00:00Z,Ikke angitt,Ikke angitt,65.63,18.510000000000002,10.43,1.23,0.31,74.38,3.98,9.0500000000000007,0,0,14.65,15.7,Songedalsåi/Fyresdalsåna/Arendalsvassdraget,2003.41,019,Arendalsvassdraget/kyst Moland-Homborsund,0,0,1001,659,934,802,1175,554,554,7228
16.155.0,Sønnlandsvatn,Vannføring,1,Innsjø,"Privat, ikke pålagt",I drift,31743.583333333332,1986-11-27T14:00:00Z,2023-12-31T14:00:00Z,Ikke angitt,Ikke angitt,374.25,22.42,8.99,0.78,0.54,50.08,8.69,24.41,0,0,21.6,29.91,Skogsåi/Heddøla-hjartdøla/Skiensvassdraget,1660.17,016,Skiensvassdraget/Langesundsfjorden,0.7,0.33,1001,673,1219,993,1876,397,404,6200
150.1.0,Sørra,Vannføring,1,Elv - naturlig profil,Forvaltningsstasjon,I drift,19221.583333333332,1952-08-15T14:00:00Z,2023-12-31T14:00:00Z,Ikke angitt,Ikke angitt,6.58,11.76,12.02,0,34.76,43.64,0.43,0,0,0,11.66,3.17,Alsten og Tjøtta,1860.06,150,Alsten og Tjøtta,0,0,1001,51,124,78,169,33,40,15033
111.9.0,Søya v/Melhus,Vannføring,1,Elv - naturlig profil,Konsesjonspålagt stasjon,I drift,27382.583333333332,1974-12-19T14:00:00Z,2023-12-31T14:00:00Z,Ikke angitt,Ikke angitt,137.43,28.21,6.08,0.02,3.18,35.729999999999997,1.41,37.1,0,0,40.83,24.2,Søya,2142.85,111,Kyst Tingvollfjorden-Surnadalsfjorden,0,0,1001,175,970,605,1422,27,40,13456
19.80.0,Stigvassåi,Vannføring,1,Elv - kunstig profil,Konsesjonspålagt stasjon,I drift,26317.583333333332,1972-01-01T14:00:00Z,2023-12-31T14:00:00Z,Ikke angitt,Ikke angitt,14.49,12.64,4.51,0.22,2.08,90.08,2.08,0,0,0,31.66,7.17,Stigvasselva/Arendalsvassdraget,1212.93,019,Arendalsvassdraget/kyst Moland-Homborsund,0,0,1001,195,375,280,420,144,145,7181
128.5.0,Støafoss,Vannføring,1,Elv - naturlig profil,Konsesjonspålagt stasjon,I drift,11689.583333333334,1932-01-01T14:00:00Z,2023-12-31T14:00:00Z,Ikke angitt,Ikke angitt,477.08,4.82,19.37,0.31,2.0699999999999998,54.57,5.38,15.23,0,0,6.69,54.73,Ogna/Snåsavassdraget,-999,128,Snåsavassdraget/Beitstadfjorden øst,0,0,1001,200,609,382,807,75,78,14605
41.1.0,Stordalsvatn,Vannføring,1,Innsjø,Forvaltningsstasjon,I drift,4612.583333333333,1912-08-16T14:00:00Z,2023-12-31T14:00:00Z,Ikke angitt,Ikke angitt,130.72999999999999,33.4,1.23,6.71,3.07,25.29,10.92,56.11,0,0,35.57,30.62,Etnevassdraget,2684.02,041,Etnevassdraget/Ålfjorden og Etnefjorden,0,0,1001,96,1072,725,1292,49,51,9430
12.215.0,Storeskar,Vannføring,1,Kum,Konsesjonspålagt stasjon,I drift,32051.583333333332,1987-08-07T14:00:00Z,2023-12-31T14:00:00Z,Ikke angitt,Ikke angitt,119.67,26.36,4.1900000000000004,0.35,0.24,8.84,4.03,79.23,0,0,27.5,24.69,Hemsil/Hallingdalsvassdraget/Drammensvassdraget,1764.02,012,Drammensvassdraget/Drammensfjorden vest,0,0,1001,1037,1622,1420,1814,889,895,4439
19.96.0,Storgama ovf.,Vannføring,1,Elv - kunstig profil,Forvaltningsstasjon,I drift,27214.583333333332,1974-07-04T14:00:00Z,2023-12-31T14:00:00Z,Ikke angitt,Ikke angitt,0.57999999999999996,33.4,6.69,6.17,0,28.97,11.79,52.69,0,0,25.05,0.76,Heimdøl/Arendalsvassdraget,2065.46,019,Arendalsvassdraget/kyst Moland-Homborsund,0,0,1001,598,666,618,689,587,570,7212
2.611.0,Storsjøen ndf. Øra,Vannføring,1,Ikke angitt,Konsesjonspålagt stasjon,I drift,25934.583333333332,1971-01-01T14:00:00Z,2023-12-31T14:00:00Z,Ikke angitt,Ikke angitt,2337.2800000000002,2.89,8.41,2.1,1.35,60.77,3.59,22.47,0.03,0,3.58,122.19,Rena/Glommavassdraget,1069.79,002,Glommavassdraget/Hvaler og Singlefjorden,0.98,0.17,1001,463,1066,848,1743,247,257,1535
2.633.0,Stortorp,Vannføring,1,Ikke angitt,Konsesjonspålagt stasjon,I drift,33298.583333333336,1991-03-01T14:00:00Z,2023-12-31T14:00:00Z,Ikke angitt,Ikke angitt,87.19,5.1100000000000003,5.29,0.42,4.03,86.33,3.79,0,7.0000000000000007E-2,0,6.41,16.7,Rakkestadelva/Glommavassdraget,1678.24,002,Glommavassdraget/Hvaler og Singlefjorden,0,0,1001,143,266,209,324,112,110,1603
168.1.0,Storvatn,Vannføring,1,Innsjø,Forvaltningsstasjon,I drift,6089.583333333333,1916-09-01T14:00:00Z,2023-12-31T14:00:00Z,Ikke angitt,Ikke angitt,71.3,12.1,1.07,9.4600000000000009,0,24.22,13.06,55.79,0,0.38,24.36,13.67,NA,2291.75,168,Nordfolda,0,0,1001,84,854,505,1174,56,56,16444
153.1.0,Storvatn,Vannføring,1,Kum,Forvaltningsstasjon,I drift,6164.583333333333,1916-11-15T14:00:00Z,2023-12-31T14:00:00Z,Ikke angitt,Ikke angitt,48,47.55,0.64,8.0500000000000007,0.3,10.94,12.74,63.53,0,0,57.7,14.61,Leirelva,1434.12,153,Leirfjord kommune,0.28999999999999998,0,1001,87,830,559,984,50,51,15208
177.3.0,Storvatn ndf.,Vannføring,1,Elv - naturlig profil,Konsesjonspålagt stasjon,I drift,8402.5833333333339,1923-01-01T14:00:00Z,2023-12-31T14:00:00Z,Ikke angitt,Ikke angitt,51.81,31.53,12.49,12.94,0.64,29.89,15.15,37.130000000000003,0,0,32.28,12.86,Dalelva,1650.62,177,Østre Hinnøya,1,0.65,1001,134,667,303,1080,129,136,16767
85.4.0,Straumstad (Solheimsvatnet),Vannføring,1,Innsjø,"Privat, ikke pålagt",I drift,27250.583333333332,1974-08-09T14:00:00Z,2023-12-31T14:00:00Z,Ikke angitt,Ikke angitt,109.68,47.46,1.01,2.41,1.28,26.37,6.39,51.66,0,3.7,48.37,19.41,Solheimsvassdraget,-999,085,Oselvvassdraget/Flora kommune,0,0,1001,180,1029,620,1384,0,13,12348
