stasjonsnr,Stasjonsnavn,Måleparameter,Versjon,Målested,Stasjontype,Status (i drift/nedlagt),Målestart (dato),Data kontrollert fra (dato),Data kontrollert til (dato),Evt. nedlagt (dato),Normal årsavrenning (l/s km2),Totalt feltareal (km2),"Bratthet (1085-gradient, m/km)",Myrprosent,Effektiv sjøprosent,Jordbruksprosent,Skogprosent,Innsjøprosent,Snaufjellprosent,Urbantareal prosent,Breprosent,Elvegradient (m/km),Elvelengde (km),Elvenavnhierarki,Elvetetthet (m/km),Vassdragsomr. nr.,Vassdragsomr. navn,Reguleringsgrad areal,"Reguleringsgrad mag,",Måleparameter kode,Høyde 10 persentil (m),Høyde 90 persentil (m),Medianhøyde (m),Høyeste punkt (m),Laveste punkt (m),Høyde over havet (m),ObjektID
36.9.0,Middal,Vannføring,1,Elv - naturlig profil,Konsesjonspålagt stasjon,I drift,25164.583333333332,1968-11-22T14:00:00Z,2023-12-31T14:00:00Z,Ikke angitt,Ikke angitt,45.87,71.14,0.1,0.16,0,1.57,4.0199999999999996,91.68,0,2.17,72.650000000000006,9.2799999999999994,Middalselva/Suldalsvassdraget,3024.58,036,Suldalsvassdraget/Sandsfjorden sør og Hylsfjorden,0,0,1001,1130,1598,1437,1680,840,840,9094
104.22.0,Midtre Mardalsvatn,Vannføring,1,Innsjø,Konsesjonspålagt stasjon,I drift,27760.583333333332,1976-01-01T14:00:00Z,2023-12-31T14:00:00Z,Ikke angitt,Ikke angitt,13.68,52.25,0,3.95,0,0,11.07,82.46,0,6.51,49.21,6.58,Mardøla/Eira,1178.3900000000001,104,Eira/langfjorden,0,0,1001,920,1372,1184,1582,881,897,13223
2.267.0,Mistra bru,Vannføring,1,Elv - naturlig profil,Konsesjonspålagt stasjon,I drift,22594.583333333332,1961-11-09T14:00:00Z,2023-12-31T14:00:00Z,Ikke angitt,Ikke angitt,549.58000000000004,8.27,13.11,0.05,0.04,51.81,1.21,27.79,0,0,11.29,67.849999999999994,Mistra/Rena/Glommavassdraget,1035.69,002,Glommavassdraget/Hvaler og Singlefjorden,0,0,1001,684,1030,826,1752,317,319,823
139.20.0,Moen,Vannføring,1,Elv - naturlig profil,Konsesjonspålagt stasjon,I drift,27181.583333333332,1974-06-01T14:00:00Z,2023-12-31T14:00:00Z,Ikke angitt,Ikke angitt,64.06,28.9,7.43,0.02,0,32.479999999999997,1.74,56.3,0,0,37.380000000000003,17.579999999999998,Store bjørnhusdalelva/Namsen,4543.41,139,Namsen/Namsfjorden øst,0,0,1001,276,882,580,1099,201,200,14854
149.1.0,Møllehusfoss,Vannføring,1,Elv - naturlig profil,Konsesjonspålagt stasjon,I drift,30299.583333333332,1982-12-14T14:00:00Z,2023-12-31T14:00:00Z,Ikke angitt,Ikke angitt,95.12,36.86,0.82,0.71,0,12.43,7.13,75.87,0,0,42.19,18.7,Sæterelva/Lakselva,1413.35,149,"Visten, Halsfjorden og ytre Vefsnfjorden øst",0,0,1001,216,819,621,1225,14,14,15025
168.2.0,Mørsvik bru,Vannføring,1,Elv - naturlig profil,Konsesjonspålagt stasjon,I drift,31287.583333333332,1985-08-28T14:00:00Z,2023-12-31T14:00:00Z,Ikke angitt,Ikke angitt,31.23,36.450000000000003,4.74,4.3499999999999996,0,49.96,9.42,27.71,0,0,40.520000000000003,10.46,Marsvikelva,1242.6600000000001,168,Nordfolda,0,0,1001,164,832,384,1092,73,78,16450
24.8.0,Møska (Skolandsvatnet),Vannføring,1,Ikke angitt,Forvaltningsstasjon,I drift,34632.583333333336,1994-10-25T14:00:00Z,2023-12-31T14:00:00Z,Ikke angitt,Ikke angitt,121.41,15.09,3.1,1.71,1.01,77.06,9.31,8.2200000000000006,0,0,17.97,30.39,Møska/Lygna,1890.05,024,Lygna/kyst Lindesnes-Lista,0,0,1001,248,485,356,612,7,12,8190
307.5.0,Murusjø,Vannføring,1,Innsjø,Forvaltningsstasjon,I drift,9218.5833333333339,1925-03-27T14:00:00Z,2023-12-31T14:00:00Z,Ikke angitt,Ikke angitt,345.62,4.76,13.22,5.52,0.77,53.88,8.9499999999999993,16.11,0,0,7.39,45.98,Muruelva/Faxälven,2136.98,307,Ångermanelven,0.17,0,1001,338,853,565,1268,311,311,17955
22.16.0,Myglevatn ndf.,Vannføring,2,Ikke angitt,Konsesjonspålagt stasjon,I drift,Ikke angitt,1998-10-14T14:00:00Z,2023-12-31T14:00:00Z,Ikke angitt,Ikke angitt,182.2,6.04,12.09,1.7,0.41,63.59,6.07,10.91,0,0,10.98,37.520000000000003,Kosåna/Mandalselva,2187.8200000000002,022,Mandalselva/kyst Flekkerøy-Mandal by,0,0,1001,358,605,488,740,248,250,8048
76.10.0,Myklemyr,Vannføring,1,Elv - naturlig profil,Konsesjonspålagt stasjon,I drift,28635.583333333332,1978-05-25T14:00:00Z,2023-12-31T14:00:00Z,Ikke angitt,Ikke angitt,575.82000000000005,27.01,0.17,0.11,0.75,14.83,3.54,49.78,0,27.75,21.97,53.57,Jostedøla,757.98,076,Jostedøla/Lusterfjorden vest,0.26,0.39,1001,578,1730,1383,2084,79,88,11693
