Stasjonsnr;Stasjonsnavn;Måleparameter;Versjon;Målested;Stasjontype;Status (i drift/nedlagt);Målestart (dato);Data kontrollert fra (dato);Data kontrollert til (dato);Evt. nedlagt (dato);Normal årsavrenning (l/s km2);Totalt feltareal (km2);Bratthet (1085-gradient, m/km);Myrprosent;Effektiv sjøprosent;Jordbruksprosent;Skogprosent;Innsjøprosent;Snaufjellprosent;Urbantareal prosent;Breprosent;Elvegradient (m/km);Elvelengde (km);Elvenavnhierarki;Elvetetthet (m/km);Vassdragsomr. nr.;Vassdragsomr. navn;Reguleringsgrad areal;Reguleringsgrad mag,;Måleparameter kode;Høyde 10 persentil (m);Høyde 90 persentil (m);Medianhøyde (m);Høyeste punkt (m);Laveste punkt (m);Høyde over havet (m);ObjektID
2.268.0;Akslen;Vannføring;1;Ikke angitt;Konsesjonspålagt stasjon;I drift;10.11.1961;10.11.1961;31.12.2023;Ikke angitt;Ikke angitt;789,27;17,41;1,02;0,06;0,73;12,3;2,42;70,75;0;10,31;21,91;48,03;Bøvri/Otta/Vorma-Lågen/Glommavassdraget;1219,7;002;Glommavassdraget/Hvaler og Singlefjorden;0;0;1001;1013;2056;1526;2464;471;480;832
121.20.0;Åmot;Vannføring;1;Elv - naturlig profil;Konsesjonspålagt stasjon;I drift;31.07.1987;31.07.1987;31.12.2023;Ikke angitt;Ikke angitt;282,67;12,94;14,03;0,7;3,35;61,41;5,57;13,28;0,01;0;21,96;39,48;Svorka/Orkla;1657,07;121;Orkla/Orkdalsfjorden;0;0;1001;309;801;497;1215;199;210;13678
186.2.0;Ånesvatn;Vannføring;1;Ikke angitt;Forvaltningsstasjon;I drift;19.09.1997;19.09.1997;31.12.2023;Ikke angitt;Ikke angitt;47,04;14,86;25,39;7,64;1,51;33,89;11,25;22,53;0;0;22,01;14,18;Åelva;1330,62;186;Andøya;0;0;1001;16;383;135;609;9;10;16824
26.20.0;Årdal;Vannføring;1;Elv - naturlig profil;Konsesjonspålagt stasjon;I drift;04.02.1970;01.05.1970;31.12.2023;Ikke angitt;Ikke angitt;77,25;23,19;2,25;2,3;1,96;38,28;9,17;25,02;0;0;32,07;17,65;Moisåni/Sira;1821,77;026;Sira og Sokna/kyst Hidra-Sokndal;0;0;1001;284;642;518;747;109;105;8381
2.32.0;Atnasjø;Vannføring;1;Ikke angitt;Forvaltningsstasjon;I drift;Ikke angitt;18.09.1984;31.12.2023;Ikke angitt;Ikke angitt;463,3;9,63;2,28;1,08;0,5;22,34;1,97;68,44;0;0;12,35;60,39;Atna/Glommavassdraget;1281,58;002;Glommavassdraget/Hvaler og Singlefjorden;0;0;1001;827;1677;1236;2173;689;701;244
16.128.0;Austbygdåi;Vannføring;1;Kum;Konsesjonspålagt stasjon;I drift;08.10.1976;08.10.1976;31.12.2023;Ikke angitt;Ikke angitt;342,92;23,92;5,59;0,14;0,89;33,29;4,35;53,69;0,04;0;24,65;47,67;Austbygdåi/Skiensvassdraget;1790,09;016;Skiensvassdraget/Langesundsfjorden;0;0;1001;771;1322;1152;1481;202;230;6138
27.15.0;Austrumdal (Austrumdalsvatnet);Vannføring;1;Innsjø;Forvaltningsstasjon;I drift;12.04.1980;01.01.1986;31.12.2023;Ikke angitt;Ikke angitt;60,85;21,39;1,16;5,48;0,36;11,25;13,27;66,83;0;0;22,75;23,25;Austrumdalsåna/Bjerkreimvassdraget;1904,89;027;Bjerkreimvassdraget/kyst Sokndal-Ogna;0;0;1001;534;825;716;935;309;309;8574
86.10.0;Åvatn (Ommedalsvatnet);Vannføring;1;Innsjø;Privat, ikke pålagt;I drift;09.08.1974;09.08.1974;31.12.2023;Ikke angitt;Ikke angitt;162,13;25,74;8,09;1,49;0,78;27,52;6,23;55,6;0;0,54;33,14;31,65;Gjengedalsvassdraget;2105,82;086;Gjengedalsvassdraget/Frøysjøen og ytre Nordfjord sør;0;0;1001;456;1136;788;1464;19;27;12389
237.1.0;Båtsfjord;Vannføring;1;Elv - naturlig profil;Konsesjonspålagt stasjon;I drift;01.09.1980;01.09.1980;31.12.2023;Ikke angitt;Ikke angitt;21,93;21,54;0,87;1,38;0;0,19;2,47;96,5;0;0;36,72;6,81;Storelva;898,65;237;Vesterelvvassdraget/kyst Båtsfjordnæringen-Hamningberg;0;0;1001;184;444;299;481;142;141;17849
16.189.0;Bjønntjønn;Vannføring;1;Innsjø;Privat, ikke pålagt;I drift;05.07.1991;05.07.1991;31.12.2023;Ikke angitt;Ikke angitt;33,82;10,91;6,89;1,68;0,2;86,38;5,14;0,69;0;0;17,7;12,72;Grytåi/Vest-vassdraget/Skiensvassdraget;1893,72;016;Skiensvassdraget/Langesundsfjorden;0;0;1001;667;879;765;1021;525;532;6252
27.16.0;Bjordal;Vannføring;1;Elv - naturlig profil;Forvaltningsstasjon;I drift;25.10.1984;25.10.1984;31.12.2023;Ikke angitt;Ikke angitt;123,81;22,42;1,32;0,31;0,07;9,22;9,51;72,99;0;0;26,79;25,27;Oreåna/Bjerkreimvassdraget;2326,72;027;Bjerkreimvassdraget/kyst Sokndal-Ogna;0;0;1001;572;857;771;965;210;210;8578
8.2.0;Bjørnegårdssvingen;Vannføring;1;Elv - naturlig profil;Forvaltningsstasjon;I drift;01.10.1968;01.10.1968;31.12.2023;Ikke angitt;Ikke angitt;190,77;19,63;1,73;0,07;5,23;83,66;2;0;4,19;0;19,04;24,8;Sandvikselva;1998,55;008;Sandvikselva;0;0;1001;152;516;378;681;4;6;3725
15.53.0;Borgåi;Vannføring;2;Ikke angitt;Konsesjonspålagt stasjon;I drift;Ikke angitt;14.10.1997;31.12.2023;Ikke angitt;Ikke angitt;93,83;21,51;11,4;0,44;0,29;46,64;4,61;28,98;0;0;20,15;19,65;Borgåi/Numedalslågen;2193,36;015;Numedalslågen og Siljanvassdraget/kyst Sandefjord-Mølen;0;0;1001;902;1192;1052;1312;762;770;5557
78.8.0;Bøyumselv;Vannføring;1;Ikke angitt;Forvaltningsstasjon;I drift;17.12.1982;17.12.1982;31.12.2023;Ikke angitt;Ikke angitt;40,46;19,39;0,2;0,15;0,19;20,15;0,38;31,62;0;41,07;77,72;5,78;Storelvi;1025,08;078;Vetlefjorden og Fjærlandsfjorden;0;0;1001;224;1626;1287;1732;37;40;11993
37.27.0;Breiborgvatn;Vannføring;1;Innsjø;Konsesjonspålagt stasjon;I drift;01.01.1996;01.01.1996;31.12.2023;Ikke angitt;Ikke angitt;12,43;116,33;0,14;2,81;0;8,34;7,41;84,14;0;0;123,01;6,49;Elgjuvsåna/Saudavassdraget;2372,59;037;Saudavassdraget/Saudafjorden og Sandsfjorden nord;0;0;1001;726;1327;992;1534;665;770;9376
16.154.0;Brusetbekken;Vannføring;1;Elv - kunstig profil;Forvaltningsstasjon;I drift;28.06.1987;28.06.1987;31.12.2023;Ikke angitt;Ikke angitt;7,72;8,58;1,74;0,36;4,8;90,37;1,68;0;0;0;7,18;4,04;Skiensvassdraget;1704,48;016;Skiensvassdraget/Langesundsfjorden;0;0;1001;123;220;145;306;69;80;6197
