"stasjonsnr","navn","areal_km2","sjo_prosent","normalQ_m3s","lowflow_m3s","nifs_high_m3s","rffa_high_m3s"
"2.268.0","Akslen",788.76,2.43,25.1377812,0,275.299567615384,197.045295917366
"121.20.0","Åmot",283.23,5.57,7.6783653,0.698251150399465,76.8559407160065,64.0204242040086
"166.3.0","Andkilvatn",249.55,14.82,16.8371385,0,139.691325298548,90.4090173274365
"26.20.0","Årdal",76.9,9.23,5.989741,0.363541722103428,54.2122749657286,41.2805600908543
"2.32.0","Atnasjø",462.13,1.97,10.1853452,0.70615824659823,108.755373000104,78.9388757486571
"2.28.0","Aulestad",860.66,2.67,16.4127862,1.25541772114299,177.367686753279,133.755999049809
"16.128.0","Austbygdåi",342.26,4.36,7.4852262,0.468741851803197,112.302713376526,82.2603648263273
"20.2.0","Austenå",277.46,12.22,10.8570098,0.678011663681778,101.920089094362,79.9372431148226
"27.15.0","Austrumdal (Austrumdalsvatnet)",60.83,13.39,5.8305555,0.58745430078766,48.3502085087783,38.6127543729929
"12.290.0","Bagn",2978.83,8.08,62.4362768,6.41430175797674,509.910699539215,427.665438247161
"2.227.0","Barkaldfoss",6632.22,4.04,104.2584984,23.8446681705702,874.397859445971,615.388210640664
"237.1.0","Båtsfjord",22.83,2.4,0.6833019,0.0415875991535299,12.1007113558625,7.4600717177334
"156.10.0","Berget",210.81,3.97,23.2797483,0,202.372870448702,122.674354586387
"12.97.0","Bergheim",4231.61,6.91,110.5296532,7.87262073345862,916.981771518123,715.239491004028
"139.17.0","Bertnem",5160.77,8.51,249.0587602,31.9576747269192,2094.45136677396,1097.66793365216
"16.189.0","Bjønntjønn",33.83,5.19,0.7912837,0.101757172785824,10.9883661357711,9.10359628296581
"27.16.0","Bjordal",124.42,9.57,11.3383946,0.570605203512477,135.486413477943,99.3915649537562
"8.2.0","Bjørnegårdssvingen",191.47,1.99,4.1051168,0.221563981873471,54.3151984990713,39.8666293474534
"85.2.0","Blåmannsvatn",221.95,13.4,20.228523,1.64350521039799,139.128822379784,114.997450705269
"156.24.0","Bogvatn",36.82,9.27,2.9378678,0,21.7608570726184,13.8808954801366
"46.4.0","Bondhus",60.28,3.53,8.056422,0,75.4147510974989,42.1676009903523
"15.53.0","Borgåi",93.89,4.58,1.5613907,0.0936381191004254,23.4096807771782,20.7089873225978
"124.15.0","Bøstad",48.67,2.07,1.4508527,0.254109515823937,20.3392576131793,12.8962186800453
"78.8.0","Bøyumselv",40.5,0.38,4.83165,0,61.799027875304,29.9153429816149
"23.4.0","Brådlandsvatn",59.36,13.01,3.6191792,0,29.7402523739719,26.4896312124499
"156.19.0","Bredek",228.17,1.59,14.4500061,0.577714515170805,202.406281494641,105.440980373204
"37.27.0","Breiborgvatn",12.13,7.46,1.0721707,0.0549851971690906,14.8087610476649,9.16397693658106
"15.23.0","Bruhaug",3465.83,9.55,73.4409377,6.22646022829651,539.461831477976,441.749189994889
"84.21.0","Brulandsfoss ndf.",572.72,9.8,49.024832,5.36148094827146,273.515821694109,228.94550072922
"16.154.0","Brusetbekken",7.78,1.68,0.148987,0.00309036752759472,1.66903217874593,1.37883904336654
"2.290.0","Brustuen",253.06,4.8,10.0161148,0,106.664130331204,75.5642117905729
"76.15.0","Bruvollelvi",7.64,14.2,0.4593168,0.0190768090349675,5.84101780051598,2.93412573382229
"2.165.0","Bygdin ndf.",308.05,18.15,13.3354845,0.731944684093074,68.9488981377696,53.0158282056286
"234.14.0","Cærrogæsjokka",45.67,2.87,0.4777082,0.0500334268490937,8.57292177472729,9.95261846747708
"91.2.0","Dalsbøvatn",25.75,10.2,1.8197525,0.123446827439453,16.7778053814274,11.9059550356723
"17.10.0","Dalsfoss ndf.",1159.82,6.99,31.7906662,1.85149411680992,328.707464120857,238.997022195124
"26.22.0","Deg",69.26,12.91,5.959823,0.623177517096118,63.0412424944241,48.0467942013857
"205.6.0","Didnojokka",111.22,6.48,2.2488684,0.112910391561887,40.8716086026544,46.179362872102
"127.13.0","Dillfoss",482.35,3.35,17.3646,1.29470005458047,192.989264634819,124.748128539148
"35.16.0","Djupadalsvatn",45.37,10.85,3.2407791,0.328563179277312,30.0631995386737,22.7939783404849
"42.2.0","Djupevad",31.02,3.23,3.2235984,0.189963573927339,46.6832165675723,27.1297038133786
"2.129.0","Dølplass",2015.45,1.76,27.7930555,0.652316543844065,290.86361391655,402.873488997475
"2.303.0","Dombås",493.99,3.84,10.9122391,0.641092070029209,129.200466579239,98.8139335627867
"109.20.0","Driva v/Grensehølen",1628.41,3.08,41.035932,2.2206986128463,381.244876777008,278.118403505886
"109.9.0","Driva v/Risefoss",744.41,2.16,16.7566691,0.689000074625392,182.40913275042,140.643264762023
